org_code,cluster_id
RKE,1
RA2,1
R0D,2
RGN,1
RWJ,1
RVW,1
RCD,2
RFR,1
R1F,2
RM3,0
RJC,2
RFS,2
RKB,1
RXK,2
RNN,2
RPA,2
RWF,1
RTX,2
RNQ,1
RQX,1
RJ2,1
RCU,0
RTG,1
RM1,2
RTK,1
RYR,1
RXQ,1
RHQ,1
RJE,2
RH5,2
RHU,1
RBK,1
RRF,1
RAL,1
R0B,1
RBT,2
RBD,2
RRV,1
RAX,1
RXL,1
REF,2
RAE,1
RLT,1
RXW,2
RJ7,1
RR8,1
RXN,1
RJN,2
RN3,2
RA7,1
RXR,2
RGT,1
RK9,2
RNA,1
RCX,2
RWA,2
RBN,1
R0A,2
RL4,1
RDE,2
RTH,1
RXP,1
RD1,1
RBL,2
RF4,1
RWY,2
RAS,1
RQM,1
RTR,1
RYJ,1
RP5,2
RH8,2
RD8,1
RK5,2
RWG,1
RCF,2
RFF,1
RJ6,1
RVV,1
RJ1,2
RWH,1
RQ3,0
RMC,2
RWP,2
RTD,1
RBS,0
RMP,1
RCB,2
RXC,2
R1H,1
RLQ,2
RTE,2
RRK,2
RC9,1
RN7,1
RJZ,1
RQW,1
RHW,1
RGP,2
RNZ,2
RTF,1
RA9,2
RXF,2
RN5,1
R1K,1
RJR,1
RX1,1
RGR,2
RWD,1
RWW,2
RNS,2
RDU,1
RR7,1
RHM,1
REM,1
RVR,1
RTP,1
RWE,1
RAJ,1
RJL,1
