org_code,catchment_population,imd_score,imd_rank_recomputed,deprivation_quintile,core20_proxy
RAE,404197,39.0,1,1,true
RXK,412728,37.1,2,1,true
REP,128135,35.7,3,1,true
RXR,456457,33.2,4,1,true
REM,498761,32.8,5,1,true
RQ3,241492,32.7,6,1,true
RBS,117479,32.5,7,1,true
R0B,429727,32.1,8,1,true
RM3,772903,31.9,9,1,true
RBK,267472,31.5,10,1,true
RVW,269090,31.2,11,1,true
RMC,315680,31.1,12,1,true
RFR,217199,31.0,13,1,true
RRK,1126429,30.900000000000002,14,1,true
RQX,280452,29.9,15,1,true
RXL,296513,29.9,15,1,true
RCU,83527,29.6,17,1,true
RMP,187778,29.599999999999998,18,1,true
R0A,1172065,29.2,19,1,true
RTR,480617,29.1,20,1,true
RFF,224030,28.6,21,1,true
RGP,203525,28.4,22,1,true
RP5,388856,28.099999999999998,23,1,true
RET,35314,27.8,24,1,true
RR7,174389,27.8,24,1,true
REN,15123,27.4,26,1,true
RXF,511018,27.4,26,1,true
RXP,436903,27.2,28,2,false
RL4,472919,27.0,29,2,false
R1H,1051489,26.8,30,2,false
RBN,580290,26.7,31,2,false
RHQ,670472,26.7,31,2,false
RBL,291262,26.6,33,2,false
RJL,365512,26.4,34,2,false
RTD,666883,26.300000000000004,35,2,false
RRJ,68306,26.1,36,2,false
RWY,396167,25.9,37,2,false
RBQ,58447,25.9,37,2,false
RWA,550669,25.7,39,2,false
RKE,196777,25.300000000000004,40,2,false
RR8,883613,25.199999999999996,41,2,false
RCX,205970,25.1,42,2,false
RPA,317714,25.0,43,2,false
RRF,287564,24.8,44,2,false
RNA,367860,24.6,45,2,false
R1F,115516,24.6,45,2,false
RAL,899746,24.2,47,2,false
RVV,628346,23.9,48,2,false
RXC,344214,23.9,48,2,false
RK5,337777,23.9,48,2,false
R1K,595458,23.4,51,2,false
RWD,506612,23.3,52,2,false
RBV,57997,23.2,53,2,false
RYJ,703259,23.2,53,2,false
RRV,568542,23.2,53,3,false
RNN,256591,22.9,56,3,false
RJE,665985,22.9,56,3,false
RKB,546207,22.5,58,3,false
RJ6,258633,22.4,59,3,false
RX1,862018,22.300000000000004,60,3,false
RJ2,511314,22.3,61,3,false
RP6,200001,22.3,61,3,false
RCF,179131,22.2,63,3,false
REF,422736,22.2,63,3,false
RTF,381135,22.1,65,3,false
RA9,242471,22.1,65,3,false
RP4,85945,22.0,67,3,false
RF4,604047,22.0,67,3,false
RAS,239733,21.9,69,3,false
RK9,483264,21.9,69,3,false
RFS,251697,21.7,71,3,false
RXN,464488,21.7,71,3,false
RLT,181815,21.6,73,3,false
RWW,215189,21.2,74,3,false
RWE,967419,21.1,75,3,false
RDE,685017,20.7,76,3,false
RJ1,814692,20.7,76,3,false
RQM,561690,20.5,78,3,false
RTG,802301,20.3,79,3,false
RXW,396036,20.3,79,3,false
RC9,628498,20.1,81,3,false
RTX,293738,20.0,82,4,false
RHU,571207,19.6,83,4,false
RN7,307741,19.5,84,4,false
RH5,467693,19.4,85,4,false
RWJ,293287,19.2,86,4,false
RGN,514931,19.1,87,4,false
RJZ,708227,18.9,88,4,false
RM1,605284,18.9,88,4,false
RLQ,174508,18.8,90,4,false
RBD,197676,18.7,91,4,false
RAN,54648,18.7,91,4,false
RH8,598121,18.5,93,4,false
RAJ,1089176,18.3,94,4,false
RNQ,300830,18.2,95,4,false
RJR,196560,18.0,96,4,false
RL1,52702,17.9,97,4,false
RHM,634480,17.8,98,4,false
RWP,509309,17.8,98,4,false
RBT,260096,17.7,100,4,false
RNS,375079,17.7,100,4,false
RA7,1130937,17.600505686877344,102,4,false
RD8,289932,17.3,103,4,false
RCB,488674,17.0,104,4,false
RGR,252940,16.9,105,4,false
RYR,955999,16.7,106,4,false
RPC,126205,16.5,107,4,false
RGM,113044,16.5,107,5,false
R0D,513788,16.1,109,5,false
RQW,238956,15.6,110,5,false
RWF,523389,15.6,110,5,false
RJ7,501846,15.5,112,5,false
RTE,589767,15.400000000000002,113,5,false
RN3,362110,15.4,114,5,false
RNZ,224952,14.4,115,5,false
RWH,428722,14.0,116,5,false
RPY,68508,13.7,117,5,false
RD1,412431,13.6,118,5,false
RTP,372556,13.4,119,5,false
RWG,384571,13.0,120,5,false
RJN,121371,12.9,121,5,false
RTK,325710,12.8,122,5,false
RGT,574506,12.6,123,5,false
RXQ,416861,12.300000000000002,124,5,false
RVR,360954,12.2,125,5,false
RDU,680650,12.1,126,5,false
RJC,281768,12.1,126,5,false
RTH,852784,11.9,128,5,false
RN5,468137,11.9,128,5,false
RHW,483320,11.7,130,5,false
RCD,182420,11.4,131,5,false
RAX,337389,10.8,132,5,false
RA2,327670,10.0,133,5,false
